Filling level [%],Filling level [%] prob0,Filling level [%] prob1,Filling level [%] prob2,Object,Sequence
1.0,0.138,0.486,0.376,12,0013
0.0,0.432,0.352,0.216,12,0043
1.0,0.056,0.548,0.396,12,0026
1.0,0.09,0.536,0.374,12,0000
1.0,0.082,0.498,0.42,12,0018
2.0,0.044,0.464,0.492,12,0057
1.0,0.006,0.57,0.424,12,0039
1.0,0.022,0.506,0.472,12,0032
1.0,0.016,0.51,0.474,12,0055
1.0,0.024,0.518,0.458,12,0020
0.0,0.63,0.178,0.192,12,0012
2.0,0.006,0.468,0.526,12,0006
1.0,0.016,0.526,0.458,12,0059
1.0,0.022,0.61,0.368,12,0004
1.0,0.024,0.692,0.284,12,0048
1.0,0.038,0.498,0.464,12,0016
1.0,0.024,0.616,0.36,12,0041
0.0,0.498,0.258,0.244,12,0010
2.0,0.06,0.466,0.474,12,0009
1.0,0.052,0.634,0.314,12,0049
1.0,0.05,0.506,0.444,12,0042
0.0,0.468,0.288,0.244,12,0053
1.0,0.066,0.558,0.376,12,0015
1.0,0.008,0.508,0.484,12,0017
1.0,0.034,0.576,0.39,12,0003
1.0,0.122,0.546,0.332,12,0029
1.0,0.08,0.568,0.352,12,0035
1.0,0.068,0.53,0.402,12,0021
1.0,0.022,0.658,0.32,12,0014
0.0,0.456,0.292,0.252,12,0056
1.0,0.022,0.644,0.334,12,0023
1.0,0.048,0.526,0.426,12,0033
1.0,0.02,0.528,0.452,12,0001
1.0,0.014,0.588,0.398,12,0034
0.0,0.534,0.27,0.196,12,0047
1.0,0.01,0.586,0.404,12,0051
1.0,0.018,0.594,0.388,12,0038
1.0,0.002,0.52,0.478,12,0019
1.0,0.008,0.648,0.344,12,0007
1.0,0.01,0.626,0.364,12,0045
1.0,0.026,0.49,0.484,12,0027
