,Object,Sequence,Filling type
70,1,s2_fi2_fu1_b1_l0,2
71,1,s2_fi2_fu1_b1_l1,2
72,1,s2_fi2_fu2_b0_l0,2
73,1,s2_fi2_fu2_b0_l1,2
74,1,s2_fi2_fu2_b1_l0,2
75,1,s2_fi2_fu2_b1_l1,2
76,1,s2_fi3_fu1_b0_l0,3
77,1,s2_fi3_fu1_b0_l1,3
78,1,s2_fi3_fu1_b1_l0,3
79,1,s2_fi3_fu1_b1_l1,3
80,1,s2_fi3_fu2_b0_l0,3
81,1,s2_fi3_fu2_b0_l1,3
82,1,s2_fi3_fu2_b1_l0,3
83,1,s2_fi3_fu2_b1_l1,3
84,4,s0_fi0_fu0_b0_l0,0
85,4,s0_fi0_fu0_b0_l1,0
86,4,s0_fi0_fu0_b1_l0,0
87,4,s0_fi0_fu0_b1_l1,0
88,4,s0_fi1_fu1_b0_l0,1
89,4,s0_fi1_fu1_b0_l1,1
90,4,s0_fi1_fu1_b1_l0,1
91,4,s0_fi1_fu1_b1_l1,1
92,4,s0_fi1_fu2_b0_l0,1
93,4,s0_fi1_fu2_b0_l1,1
94,4,s0_fi1_fu2_b1_l0,1
95,4,s0_fi1_fu2_b1_l1,1
96,4,s0_fi2_fu1_b0_l0,2
97,4,s0_fi2_fu1_b0_l1,2
98,4,s0_fi2_fu1_b1_l0,2
99,4,s0_fi2_fu1_b1_l1,2
100,4,s0_fi2_fu2_b0_l0,2
101,4,s0_fi2_fu2_b0_l1,2
102,4,s0_fi2_fu2_b1_l0,2
103,4,s0_fi2_fu2_b1_l1,2
104,4,s0_fi3_fu1_b0_l0,3
105,4,s0_fi3_fu1_b0_l1,3
106,4,s0_fi3_fu1_b1_l0,3
107,4,s0_fi3_fu1_b1_l1,3
108,4,s0_fi3_fu2_b0_l0,3
109,4,s0_fi3_fu2_b0_l1,3
110,4,s0_fi3_fu2_b1_l0,3
111,4,s0_fi3_fu2_b1_l1,3
112,4,s1_fi0_fu0_b0_l0,0
113,4,s1_fi0_fu0_b0_l1,0
114,4,s1_fi0_fu0_b1_l0,0
115,4,s1_fi0_fu0_b1_l1,0
116,4,s1_fi1_fu1_b0_l0,1
117,4,s1_fi1_fu1_b0_l1,1
118,4,s1_fi1_fu1_b1_l0,1
119,4,s1_fi1_fu1_b1_l1,1
120,4,s1_fi1_fu2_b0_l0,1
121,4,s1_fi1_fu2_b0_l1,1
122,4,s1_fi1_fu2_b1_l0,1
123,4,s1_fi1_fu2_b1_l1,1
124,4,s1_fi2_fu1_b0_l0,0
125,4,s1_fi2_fu1_b0_l1,2
126,4,s1_fi2_fu1_b1_l0,1
127,4,s1_fi2_fu1_b1_l1,2
128,4,s1_fi2_fu2_b0_l0,2
129,4,s1_fi2_fu2_b0_l1,2
130,4,s1_fi2_fu2_b1_l0,2
131,4,s1_fi2_fu2_b1_l1,2
132,4,s1_fi3_fu1_b0_l0,0
133,4,s1_fi3_fu1_b0_l1,3
134,4,s1_fi3_fu1_b1_l0,3
135,4,s1_fi3_fu1_b1_l1,3
136,4,s1_fi3_fu2_b0_l0,3
137,4,s1_fi3_fu2_b0_l1,3
138,4,s1_fi3_fu2_b1_l0,3
139,4,s1_fi3_fu2_b1_l1,3
140,4,s2_fi0_fu0_b0_l0,0
141,4,s2_fi0_fu0_b0_l1,0
142,4,s2_fi0_fu0_b1_l0,0
143,4,s2_fi0_fu0_b1_l1,0
144,4,s2_fi1_fu1_b0_l0,1
145,4,s2_fi1_fu1_b0_l1,2
146,4,s2_fi1_fu1_b1_l0,1
147,4,s2_fi1_fu1_b1_l1,1
148,4,s2_fi1_fu2_b0_l0,1
149,4,s2_fi1_fu2_b0_l1,1
150,4,s2_fi1_fu2_b1_l0,1
151,4,s2_fi1_fu2_b1_l1,1
152,4,s2_fi2_fu1_b0_l0,2
153,4,s2_fi2_fu1_b0_l1,2
154,4,s2_fi2_fu1_b1_l0,2
155,4,s2_fi2_fu1_b1_l1,2
156,4,s2_fi2_fu2_b0_l0,2
157,4,s2_fi2_fu2_b0_l1,2
158,4,s2_fi2_fu2_b1_l0,2
159,4,s2_fi2_fu2_b1_l1,2
160,4,s2_fi3_fu1_b0_l0,3
161,4,s2_fi3_fu1_b0_l1,3
162,4,s2_fi3_fu1_b1_l0,3
163,4,s2_fi3_fu1_b1_l1,3
164,4,s2_fi3_fu2_b0_l0,3
165,4,s2_fi3_fu2_b0_l1,3
166,4,s2_fi3_fu2_b1_l0,3
167,4,s2_fi3_fu2_b1_l1,3
168,7,s0_fi0_fu0_b0_l0,0
169,7,s0_fi0_fu0_b0_l1,0
170,7,s0_fi0_fu0_b1_l0,0
171,7,s0_fi0_fu0_b1_l1,0
172,7,s0_fi1_fu1_b0_l0,1
173,7,s0_fi1_fu1_b0_l1,1
174,7,s0_fi1_fu1_b1_l0,1
175,7,s0_fi1_fu1_b1_l1,1
176,7,s0_fi1_fu2_b0_l0,1
177,7,s0_fi1_fu2_b0_l1,1
178,7,s0_fi1_fu2_b1_l0,1
179,7,s0_fi1_fu2_b1_l1,1
180,7,s0_fi2_fu1_b0_l0,2
181,7,s0_fi2_fu1_b0_l1,2
182,7,s0_fi2_fu1_b1_l0,2
183,7,s0_fi2_fu1_b1_l1,1
184,7,s0_fi2_fu2_b0_l0,2
185,7,s0_fi2_fu2_b0_l1,2
186,7,s0_fi2_fu2_b1_l0,2
187,7,s0_fi2_fu2_b1_l1,2
188,7,s1_fi0_fu0_b0_l0,0
189,7,s1_fi0_fu0_b0_l1,0
190,7,s1_fi0_fu0_b1_l0,0
191,7,s1_fi0_fu0_b1_l1,0
192,7,s1_fi1_fu1_b0_l0,1
193,7,s1_fi1_fu1_b0_l1,1
194,7,s1_fi1_fu1_b1_l0,1
195,7,s1_fi1_fu1_b1_l1,1
196,7,s1_fi1_fu2_b0_l0,1
197,7,s1_fi1_fu2_b0_l1,1
198,7,s1_fi1_fu2_b1_l0,1
199,7,s1_fi1_fu2_b1_l1,1
200,7,s1_fi2_fu1_b0_l0,1
201,7,s1_fi2_fu1_b0_l1,2
202,7,s1_fi2_fu1_b1_l0,2
203,7,s1_fi2_fu1_b1_l1,2
204,7,s1_fi2_fu2_b0_l0,2
205,7,s1_fi2_fu2_b0_l1,2
206,7,s1_fi2_fu2_b1_l0,2
207,7,s1_fi2_fu2_b1_l1,2
208,7,s2_fi0_fu0_b0_l0,0
209,7,s2_fi0_fu0_b0_l1,0
210,7,s2_fi0_fu0_b1_l0,0
211,7,s2_fi0_fu0_b1_l1,3
212,7,s2_fi1_fu1_b0_l0,1
213,7,s2_fi1_fu1_b0_l1,1
214,7,s2_fi1_fu1_b1_l0,1
215,7,s2_fi1_fu1_b1_l1,1
216,7,s2_fi1_fu2_b0_l0,1
217,7,s2_fi1_fu2_b0_l1,1
218,7,s2_fi1_fu2_b1_l0,1
219,7,s2_fi1_fu2_b1_l1,1
220,7,s2_fi2_fu1_b0_l0,2
221,7,s2_fi2_fu1_b0_l1,2
222,7,s2_fi2_fu1_b1_l0,2
223,7,s2_fi2_fu1_b1_l1,2
224,7,s2_fi2_fu2_b0_l0,1
225,7,s2_fi2_fu2_b0_l1,2
226,7,s2_fi2_fu2_b1_l0,2
227,7,s2_fi2_fu2_b1_l1,2
228,2,s0_fi0_fu0_b0_l0,0
229,2,s0_fi0_fu0_b0_l1,0
230,2,s0_fi0_fu0_b1_l0,0
231,2,s0_fi0_fu0_b1_l1,0
232,2,s0_fi1_fu1_b0_l0,1
233,2,s0_fi1_fu1_b0_l1,1
234,2,s0_fi1_fu1_b1_l0,1
235,2,s0_fi1_fu1_b1_l1,1
236,2,s0_fi1_fu2_b0_l0,1
237,2,s0_fi1_fu2_b0_l1,1
238,2,s0_fi1_fu2_b1_l0,1
239,2,s0_fi1_fu2_b1_l1,1
240,2,s0_fi2_fu1_b0_l0,2
241,2,s0_fi2_fu1_b0_l1,2
242,2,s0_fi2_fu1_b1_l0,2
243,2,s0_fi2_fu1_b1_l1,2
244,2,s0_fi2_fu2_b0_l0,2
245,2,s0_fi2_fu2_b0_l1,2
246,2,s0_fi2_fu2_b1_l0,2
247,2,s0_fi2_fu2_b1_l1,2
248,2,s0_fi3_fu1_b0_l0,3
249,2,s0_fi3_fu1_b0_l1,3
250,2,s0_fi3_fu1_b1_l0,3
251,2,s0_fi3_fu1_b1_l1,3
252,2,s0_fi3_fu2_b0_l0,3
253,2,s0_fi3_fu2_b0_l1,3
254,2,s0_fi3_fu2_b1_l0,3
255,2,s0_fi3_fu2_b1_l1,3
256,2,s1_fi0_fu0_b0_l0,0
257,2,s1_fi0_fu0_b0_l1,0
258,2,s1_fi0_fu0_b1_l0,0
259,2,s1_fi0_fu0_b1_l1,0
260,2,s1_fi1_fu1_b0_l0,1
261,2,s1_fi1_fu1_b0_l1,1
262,2,s1_fi1_fu1_b1_l0,1
263,2,s1_fi1_fu1_b1_l1,1
264,2,s1_fi1_fu2_b0_l0,1
265,2,s1_fi1_fu2_b0_l1,1
266,2,s1_fi1_fu2_b1_l0,1
267,2,s1_fi1_fu2_b1_l1,1
268,2,s1_fi2_fu1_b0_l0,2
269,2,s1_fi2_fu1_b0_l1,2
270,2,s1_fi2_fu1_b1_l0,2
271,2,s1_fi2_fu1_b1_l1,2
272,2,s1_fi2_fu2_b0_l0,2
273,2,s1_fi2_fu2_b0_l1,2
274,2,s1_fi2_fu2_b1_l0,2
275,2,s1_fi2_fu2_b1_l1,2
276,2,s1_fi3_fu1_b0_l0,3
277,2,s1_fi3_fu1_b0_l1,3
278,2,s1_fi3_fu1_b1_l0,3
279,2,s1_fi3_fu1_b1_l1,3
280,2,s1_fi3_fu2_b0_l0,3
281,2,s1_fi3_fu2_b0_l1,3
282,2,s1_fi3_fu2_b1_l0,3
283,2,s1_fi3_fu2_b1_l1,3
284,2,s2_fi0_fu0_b0_l0,0
285,2,s2_fi0_fu0_b0_l1,0
286,2,s2_fi0_fu0_b1_l0,0
287,2,s2_fi0_fu0_b1_l1,0
288,2,s2_fi1_fu1_b0_l0,1
289,2,s2_fi1_fu1_b0_l1,1
290,2,s2_fi1_fu1_b1_l0,1
291,2,s2_fi1_fu1_b1_l1,1
292,2,s2_fi1_fu2_b0_l0,1
293,2,s2_fi1_fu2_b0_l1,1
294,2,s2_fi1_fu2_b1_l0,1
295,2,s2_fi1_fu2_b1_l1,1
296,2,s2_fi2_fu1_b0_l0,2
297,2,s2_fi2_fu1_b0_l1,2
298,2,s2_fi2_fu1_b1_l0,2
299,2,s2_fi2_fu1_b1_l1,2
300,2,s2_fi2_fu2_b0_l0,2
301,2,s2_fi2_fu2_b0_l1,2
302,2,s2_fi2_fu2_b1_l0,2
303,2,s2_fi2_fu2_b1_l1,2
304,2,s2_fi3_fu1_b0_l0,3
305,2,s2_fi3_fu1_b0_l1,2
306,2,s2_fi3_fu1_b1_l0,3
307,2,s2_fi3_fu1_b1_l1,3
308,2,s2_fi3_fu2_b0_l0,3
309,2,s2_fi3_fu2_b0_l1,3
310,2,s2_fi3_fu2_b1_l0,3
311,2,s2_fi3_fu2_b1_l1,3
312,5,s0_fi0_fu0_b0_l0,0
313,5,s0_fi0_fu0_b0_l1,0
314,5,s0_fi0_fu0_b1_l0,0
315,5,s0_fi0_fu0_b1_l1,0
316,5,s0_fi1_fu1_b0_l0,1
317,5,s0_fi1_fu1_b0_l1,1
318,5,s0_fi1_fu1_b1_l0,1
319,5,s0_fi1_fu1_b1_l1,1
320,5,s0_fi1_fu2_b0_l0,1
321,5,s0_fi1_fu2_b0_l1,1
322,5,s0_fi1_fu2_b1_l0,1
323,5,s0_fi1_fu2_b1_l1,1
324,5,s0_fi2_fu1_b0_l0,2
325,5,s0_fi2_fu1_b0_l1,2
326,5,s0_fi2_fu1_b1_l0,2
327,5,s0_fi2_fu1_b1_l1,2
328,5,s0_fi2_fu2_b0_l0,2
329,5,s0_fi2_fu2_b0_l1,2
330,5,s0_fi2_fu2_b1_l0,2
331,5,s0_fi2_fu2_b1_l1,2
332,5,s0_fi3_fu1_b0_l0,3
333,5,s0_fi3_fu1_b0_l1,3
334,5,s0_fi3_fu1_b1_l0,3
335,5,s0_fi3_fu1_b1_l1,3
336,5,s0_fi3_fu2_b0_l0,3
337,5,s0_fi3_fu2_b0_l1,3
338,5,s0_fi3_fu2_b1_l0,3
339,5,s0_fi3_fu2_b1_l1,3
340,5,s1_fi0_fu0_b0_l0,0
341,5,s1_fi0_fu0_b0_l1,0
342,5,s1_fi0_fu0_b1_l0,0
343,5,s1_fi0_fu0_b1_l1,0
344,5,s1_fi1_fu1_b0_l0,1
345,5,s1_fi1_fu1_b0_l1,1
346,5,s1_fi1_fu1_b1_l0,1
347,5,s1_fi1_fu1_b1_l1,1
348,5,s1_fi1_fu2_b0_l0,1
349,5,s1_fi1_fu2_b0_l1,1
350,5,s1_fi1_fu2_b1_l0,1
351,5,s1_fi1_fu2_b1_l1,1
352,5,s1_fi2_fu1_b0_l0,2
353,5,s1_fi2_fu1_b0_l1,2
354,5,s1_fi2_fu1_b1_l0,2
355,5,s1_fi2_fu1_b1_l1,2
356,5,s1_fi2_fu2_b0_l0,2
357,5,s1_fi2_fu2_b0_l1,2
358,5,s1_fi2_fu2_b1_l0,2
359,5,s1_fi2_fu2_b1_l1,2
360,5,s1_fi3_fu1_b0_l0,3
361,5,s1_fi3_fu1_b0_l1,3
362,5,s1_fi3_fu1_b1_l0,3
363,5,s1_fi3_fu1_b1_l1,3
364,5,s1_fi3_fu2_b0_l0,3
365,5,s1_fi3_fu2_b0_l1,3
366,5,s1_fi3_fu2_b1_l0,3
367,5,s1_fi3_fu2_b1_l1,3
368,5,s2_fi0_fu0_b0_l0,0
369,5,s2_fi0_fu0_b0_l1,0
370,5,s2_fi0_fu0_b1_l0,0
371,5,s2_fi0_fu0_b1_l1,0
372,5,s2_fi1_fu1_b0_l0,1
373,5,s2_fi1_fu1_b0_l1,1
374,5,s2_fi1_fu1_b1_l0,1
375,5,s2_fi1_fu1_b1_l1,1
376,5,s2_fi1_fu2_b0_l0,1
377,5,s2_fi1_fu2_b0_l1,1
378,5,s2_fi1_fu2_b1_l0,1
379,5,s2_fi1_fu2_b1_l1,1
380,5,s2_fi2_fu1_b0_l0,2
381,5,s2_fi2_fu1_b0_l1,2
382,5,s2_fi2_fu1_b1_l0,2
383,5,s2_fi2_fu1_b1_l1,2
384,5,s2_fi2_fu2_b0_l0,2
385,5,s2_fi2_fu2_b0_l1,2
386,5,s2_fi2_fu2_b1_l0,2
387,5,s2_fi2_fu2_b1_l1,2
388,5,s2_fi3_fu1_b0_l0,3
389,5,s2_fi3_fu1_b0_l1,3
390,5,s2_fi3_fu1_b1_l0,3
391,5,s2_fi3_fu1_b1_l1,3
392,5,s2_fi3_fu2_b0_l0,3
393,5,s2_fi3_fu2_b0_l1,3
394,5,s2_fi3_fu2_b1_l0,3
395,5,s2_fi3_fu2_b1_l1,3
396,8,s0_fi0_fu0_b0_l0,0
397,8,s0_fi0_fu0_b0_l1,0
398,8,s0_fi0_fu0_b1_l0,0
399,8,s0_fi0_fu0_b1_l1,0
400,8,s0_fi1_fu1_b0_l0,1
401,8,s0_fi1_fu1_b0_l1,1
402,8,s0_fi1_fu1_b1_l0,1
403,8,s0_fi1_fu1_b1_l1,1
404,8,s0_fi1_fu2_b0_l0,1
405,8,s0_fi1_fu2_b0_l1,1
406,8,s0_fi1_fu2_b1_l0,1
407,8,s0_fi1_fu2_b1_l1,1
408,8,s0_fi2_fu1_b0_l0,1
409,8,s0_fi2_fu1_b0_l1,2
410,8,s0_fi2_fu1_b1_l0,2
411,8,s0_fi2_fu1_b1_l1,1
412,8,s0_fi2_fu2_b0_l0,2
413,8,s0_fi2_fu2_b0_l1,2
414,8,s0_fi2_fu2_b1_l0,1
415,8,s0_fi2_fu2_b1_l1,2
416,8,s1_fi0_fu0_b0_l0,0
417,8,s1_fi0_fu0_b0_l1,0
418,8,s1_fi0_fu0_b1_l0,0
419,8,s1_fi0_fu0_b1_l1,0
420,8,s1_fi1_fu1_b0_l0,1
421,8,s1_fi1_fu1_b0_l1,1
422,8,s1_fi1_fu1_b1_l0,1
423,8,s1_fi1_fu1_b1_l1,1
424,8,s1_fi1_fu2_b0_l0,1
425,8,s1_fi1_fu2_b0_l1,1
426,8,s1_fi1_fu2_b1_l0,1
427,8,s1_fi1_fu2_b1_l1,1
428,8,s1_fi2_fu1_b0_l0,1
429,8,s1_fi2_fu1_b0_l1,1
430,8,s1_fi2_fu1_b1_l0,1
431,8,s1_fi2_fu1_b1_l1,2
432,8,s1_fi2_fu2_b0_l0,2
433,8,s1_fi2_fu2_b0_l1,2
434,8,s1_fi2_fu2_b1_l0,1
435,8,s1_fi2_fu2_b1_l1,2
436,8,s2_fi0_fu0_b0_l0,0
437,8,s2_fi0_fu0_b0_l1,0
438,8,s2_fi0_fu0_b1_l0,0
439,8,s2_fi0_fu0_b1_l1,0
440,8,s2_fi1_fu1_b0_l0,1
441,8,s2_fi1_fu1_b0_l1,1
442,8,s2_fi1_fu1_b1_l0,1
443,8,s2_fi1_fu1_b1_l1,1
444,8,s2_fi1_fu2_b0_l0,1
445,8,s2_fi1_fu2_b0_l1,1
446,8,s2_fi1_fu2_b1_l0,1
447,8,s2_fi1_fu2_b1_l1,1
448,8,s2_fi2_fu1_b0_l0,1
449,8,s2_fi2_fu1_b0_l1,1
450,8,s2_fi2_fu1_b1_l0,1
451,8,s2_fi2_fu1_b1_l1,1
452,8,s2_fi2_fu2_b0_l0,2
453,8,s2_fi2_fu2_b0_l1,1
454,8,s2_fi2_fu2_b1_l0,2
455,8,s2_fi2_fu2_b1_l1,2
456,3,s0_fi0_fu0_b0_l0,0
457,3,s0_fi0_fu0_b0_l1,0
458,3,s0_fi0_fu0_b1_l0,0
459,3,s0_fi0_fu0_b1_l1,0
460,3,s0_fi1_fu1_b0_l0,1
461,3,s0_fi1_fu1_b0_l1,1
462,3,s0_fi1_fu1_b1_l0,1
463,3,s0_fi1_fu1_b1_l1,1
464,3,s0_fi1_fu2_b0_l0,1
465,3,s0_fi1_fu2_b0_l1,1
466,3,s0_fi1_fu2_b1_l0,1
467,3,s0_fi1_fu2_b1_l1,1
468,3,s0_fi2_fu1_b0_l0,2
469,3,s0_fi2_fu1_b0_l1,2
470,3,s0_fi2_fu1_b1_l0,2
471,3,s0_fi2_fu1_b1_l1,2
472,3,s0_fi2_fu2_b0_l0,2
473,3,s0_fi2_fu2_b0_l1,2
474,3,s0_fi2_fu2_b1_l0,2
475,3,s0_fi2_fu2_b1_l1,2
476,3,s0_fi3_fu1_b0_l0,3
477,3,s0_fi3_fu1_b0_l1,3
478,3,s0_fi3_fu1_b1_l0,3
479,3,s0_fi3_fu1_b1_l1,3
480,3,s0_fi3_fu2_b0_l0,3
481,3,s0_fi3_fu2_b0_l1,3
482,3,s0_fi3_fu2_b1_l0,3
483,3,s0_fi3_fu2_b1_l1,3
484,3,s1_fi0_fu0_b0_l0,0
485,3,s1_fi0_fu0_b0_l1,0
486,3,s1_fi0_fu0_b1_l0,0
487,3,s1_fi0_fu0_b1_l1,0
488,3,s1_fi1_fu1_b0_l0,1
489,3,s1_fi1_fu1_b0_l1,1
490,3,s1_fi1_fu1_b1_l0,1
491,3,s1_fi1_fu1_b1_l1,1
492,3,s1_fi1_fu2_b0_l0,1
493,3,s1_fi1_fu2_b0_l1,1
494,3,s1_fi1_fu2_b1_l0,1
495,3,s1_fi1_fu2_b1_l1,1
496,3,s1_fi2_fu1_b0_l0,2
497,3,s1_fi2_fu1_b0_l1,2
498,3,s1_fi2_fu1_b1_l0,2
499,3,s1_fi2_fu1_b1_l1,2
500,3,s1_fi2_fu2_b0_l0,2
501,3,s1_fi2_fu2_b0_l1,2
502,3,s1_fi2_fu2_b1_l0,2
503,3,s1_fi2_fu2_b1_l1,2
504,3,s1_fi3_fu1_b0_l0,3
505,3,s1_fi3_fu1_b0_l1,3
506,3,s1_fi3_fu1_b1_l0,3
507,3,s1_fi3_fu1_b1_l1,3
508,3,s1_fi3_fu2_b0_l0,3
509,3,s1_fi3_fu2_b0_l1,3
510,3,s1_fi3_fu2_b1_l0,3
511,3,s1_fi3_fu2_b1_l1,3
512,3,s2_fi0_fu0_b0_l0,0
513,3,s2_fi0_fu0_b0_l1,0
514,3,s2_fi0_fu0_b1_l0,0
515,3,s2_fi0_fu0_b1_l1,0
516,3,s2_fi1_fu1_b0_l0,1
517,3,s2_fi1_fu1_b0_l1,1
518,3,s2_fi1_fu1_b1_l0,1
519,3,s2_fi1_fu1_b1_l1,1
520,3,s2_fi1_fu2_b0_l0,1
521,3,s2_fi1_fu2_b0_l1,1
522,3,s2_fi1_fu2_b1_l0,1
523,3,s2_fi1_fu2_b1_l1,1
524,3,s2_fi2_fu1_b0_l0,2
525,3,s2_fi2_fu1_b0_l1,2
526,3,s2_fi2_fu1_b1_l0,2
527,3,s2_fi2_fu1_b1_l1,2
528,3,s2_fi2_fu2_b0_l0,2
529,3,s2_fi2_fu2_b0_l1,2
530,3,s2_fi2_fu2_b1_l0,2
531,3,s2_fi2_fu2_b1_l1,2
532,3,s2_fi3_fu1_b0_l0,3
533,3,s2_fi3_fu1_b0_l1,3
534,3,s2_fi3_fu1_b1_l0,3
535,3,s2_fi3_fu1_b1_l1,3
536,3,s2_fi3_fu2_b0_l0,3
537,3,s2_fi3_fu2_b0_l1,3
538,3,s2_fi3_fu2_b1_l0,3
539,3,s2_fi3_fu2_b1_l1,3
540,6,s0_fi0_fu0_b0_l0,0
541,6,s0_fi0_fu0_b0_l1,0
542,6,s0_fi0_fu0_b1_l0,0
543,6,s0_fi0_fu0_b1_l1,0
544,6,s0_fi1_fu1_b0_l0,1
545,6,s0_fi1_fu1_b0_l1,1
546,6,s0_fi1_fu1_b1_l0,1
547,6,s0_fi1_fu1_b1_l1,1
548,6,s0_fi1_fu2_b0_l0,1
549,6,s0_fi1_fu2_b0_l1,1
550,6,s0_fi1_fu2_b1_l0,1
551,6,s0_fi1_fu2_b1_l1,1
552,6,s0_fi2_fu1_b0_l0,2
553,6,s0_fi2_fu1_b0_l1,2
554,6,s0_fi2_fu1_b1_l0,2
555,6,s0_fi2_fu1_b1_l1,2
556,6,s0_fi2_fu2_b0_l0,2
557,6,s0_fi2_fu2_b0_l1,2
558,6,s0_fi2_fu2_b1_l0,2
559,6,s0_fi2_fu2_b1_l1,2
560,6,s0_fi3_fu1_b0_l0,3
561,6,s0_fi3_fu1_b0_l1,3
562,6,s0_fi3_fu1_b1_l0,3
563,6,s0_fi3_fu1_b1_l1,3
564,6,s0_fi3_fu2_b0_l0,3
565,6,s0_fi3_fu2_b0_l1,1
566,6,s0_fi3_fu2_b1_l0,3
567,6,s0_fi3_fu2_b1_l1,3
568,6,s1_fi0_fu0_b0_l0,0
569,6,s1_fi0_fu0_b0_l1,0
570,6,s1_fi0_fu0_b1_l0,0
571,6,s1_fi0_fu0_b1_l1,0
572,6,s1_fi1_fu1_b0_l0,1
573,6,s1_fi1_fu1_b0_l1,1
574,6,s1_fi1_fu1_b1_l0,1
575,6,s1_fi1_fu1_b1_l1,1
576,6,s1_fi1_fu2_b0_l0,1
577,6,s1_fi1_fu2_b0_l1,1
578,6,s1_fi1_fu2_b1_l0,1
579,6,s1_fi1_fu2_b1_l1,1
580,6,s1_fi2_fu1_b0_l0,2
581,6,s1_fi2_fu1_b0_l1,2
582,6,s1_fi2_fu1_b1_l0,2
583,6,s1_fi2_fu1_b1_l1,2
584,6,s1_fi2_fu2_b0_l0,2
585,6,s1_fi2_fu2_b0_l1,2
586,6,s1_fi2_fu2_b1_l0,2
587,6,s1_fi2_fu2_b1_l1,2
588,6,s1_fi3_fu1_b0_l0,3
589,6,s1_fi3_fu1_b0_l1,3
590,6,s1_fi3_fu1_b1_l0,3
591,6,s1_fi3_fu1_b1_l1,3
592,6,s1_fi3_fu2_b0_l0,3
593,6,s1_fi3_fu2_b0_l1,3
594,6,s1_fi3_fu2_b1_l0,3
595,6,s1_fi3_fu2_b1_l1,3
596,6,s2_fi0_fu0_b0_l0,0
597,6,s2_fi0_fu0_b0_l1,0
598,6,s2_fi0_fu0_b1_l0,0
599,6,s2_fi0_fu0_b1_l1,0
600,6,s2_fi1_fu1_b0_l0,1
601,6,s2_fi1_fu1_b0_l1,1
602,6,s2_fi1_fu1_b1_l0,1
603,6,s2_fi1_fu1_b1_l1,1
604,6,s2_fi1_fu2_b0_l0,1
605,6,s2_fi1_fu2_b0_l1,1
606,6,s2_fi1_fu2_b1_l0,1
